subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	1	1	9.47493401088	136.974934011	1.68514227871	0.4	127.5	1
1	0	2	-10.7543665747	56.7456334253	2.18502901058	0.4	67.5	1
1	1	1	5.09729586864	27.5972958686	1.80185232358	0.1	22.5	1
1	0	1	-15.2144123532	157.285587647	2.18498090796	0.4	172.5	2
1	0	1	-29.4829069263	98.0170930737	2.40159030645	-0.1	127.5	2
1	1	2	-20.8634229584	46.6365770416	1.86852866409	0.4	67.5	2
1	1	1	9.81961650818	77.3196165082	1.76851179858	0.4	67.5	1
1	1	2	-10.8407073465	146.659292654	2.53483105909	-0.1	157.5	2
1	0	2	-11.898705355	130.601294645	1.71849341258	-0.1	142.5	1
1	0	1	-14.7034785321	67.7965214679	2.08500310145	-0.1	82.5	2
1	0	-1	13.8706222693	66.3706222693	3.43447336533	-0.1	52.5	1
1	1	2	-15.3336541779	22.1663458221	1.98496874045	-0.1	37.5	2
1	0	2	6.35423716182	88.8542371618	2.01830023571	0.1	82.5	1
1	0	-1	17.3193006388	9.81930063876	2.26823218333	-0.1	172.5	1
1	1	1	48.0610106912	55.5610106912	3.68440159909	0.1	7.5	1
1	0	2	-2.42039213999	95.07960786	1.90174743658	0.4	97.5	1
1	1	1	-9.409152433	133.090847567	2.45160619471	0.1	142.5	1
1	0	1	10.4694039035	32.9694039035	3.21794521183	0.4	22.5	2
1	0	2	-0.454230875133	7.04576912487	2.53475781433	-0.1	7.5	1
1	1	2	-13.1954507341	69.3045492659	2.11834235158	0.4	82.5	2
1	1	1	4.40594194108	176.905941941	2.25159166571	0.4	172.5	1
1	1	1	-82.386266849	120.113733151	2.00175208271	0.4	22.5	1
1	1	1	-3.1849124	34.3150876	2.11829729883	0.1	37.5	1
1	0	1	2.60090754621	130.100907546	1.71854262033	0.1	127.5	2
1	0	1	3.101294645	40.601294645	2.06831677033	-0.1	37.5	2
1	0	2	-16.4275435928	51.0724564072	1.96846885709	-0.1	67.5	1
1	0	2	-34.0317707411	138.468229259	2.11825279209	0.4	172.5	1
1	1	1	83.3025139539	60.8025139539	3.13474061371	0.4	157.5	1
1	1	1	10.4492151166	32.9492151166	1.81837988133	-0.1	22.5	1
1	1	1	2.53025927189	40.0302592719	2.08497177733	-0.1	37.5	1
1	1	1	-5.64160123226	151.858398768	2.01837587545	0.1	157.5	1
1	1	2	-3.32956347516	4.17043652484	2.78473019711	-0.1	7.5	2
1	1	1	-7.5	0.0	2.90146156511	0.4	7.5	1
1	0	2	-43.6612598168	113.838740183	2.56815871121	0.4	157.5	1
1	1	1	7.56848815949	105.068488159	2.30152718963	0.1	97.5	1
1	0	1	-5.94292862436	61.5570713756	1.75176843816	0.1	67.5	2
1	1	2	-81.8969088056	45.6030911944	2.10158703969	0.4	127.5	2
1	0	1	-6.69855402386	30.8014459761	1.96838586227	-0.1	37.5	2
1	1	1	41.6144729453	124.114472945	2.25159141726	-0.1	82.5	1
1	0	2	16.55734945	24.05734945	2.25162374611	-0.1	7.5	1
1	1	1	-5.86342295838	46.6365770416	1.78506469816	0.4	52.5	1
1	0	2	18.809932474	56.309932474	1.68521873016	-0.1	37.5	1
1	1	1	11.5141756954	139.014175695	2.23496018816	0.1	127.5	1
1	1	1	18.5702025779	11.0702025779	2.48493216427	-0.1	172.5	1
1	0	-1	-0.630102354156	126.869897646	1.83500895226	0.4	127.5	2
1	1	1	7.00178838739	44.5017883874	1.53526159611	0.1	37.5	1
1	1	1	-12.6944289077	84.8055710923	2.15155454811	-0.1	97.5	1
1	1	1	44.1444351407	66.6444351407	3.03455624111	0.1	22.5	1
1	0	1	1.24616226256	8.74616226256	2.75143252121	0.4	7.5	2
1	1	1	-3.10218755144	64.3978124486	2.53472135874	0.4	67.5	1
1	0	1	5.14670313389	177.646703134	1.88507791311	-0.1	172.5	2
1	0	2	-9.69573393471	57.8042660653	2.03490787211	0.4	67.5	1
1	0	-1	-9.50538320808	147.994616792	2.15154388927	0.4	157.5	1
1	1	2	11.58561678	4.08561677997	2.68477169927	-0.1	172.5	2
